url;status;redirects;final_url;time_ms;indexable;title;h1;canonical;meta_robots;x_robots_tag;content_type;size_bytes;issues;error
https://www.silniki-elektryczne.com.pl/;200;0;https://www.silniki-elektryczne.com.pl/;122;tak;Silniki elektryczne - sklep, hurtownia | Oferta, ceny, sprzedaż;"Silniki elektryczne &mdash; sklep i hurtownia, używane i nowe od 0,09 do 285 kW";https://www.silniki-elektryczne.com.pl/;index, follow, max-image-preview:large, max-snippet:-1;;text/html;122642;;
https://www.silniki-elektryczne.com.pl/akcesoria;200;0;https://www.silniki-elektryczne.com.pl/akcesoria;295;tak;Akcesoria do silników: koła pasowe, sprzęgła, falowniki | Stojan;Akcesoria;https://www.silniki-elektryczne.com.pl/akcesoria;index, follow, max-image-preview:large, max-snippet:-1;;text/html;168714;tytuł >65 zn.;
https://www.silniki-elektryczne.com.pl/akcesoria/amortyzatory-plaskie-do-silnika-elektrycznego-250m;200;0;https://www.silniki-elektryczne.com.pl/akcesoria/amortyzatory-plaskie-do-silnika-elektrycznego-250m;2053;tak;Amortyzatory płaskie do silnika elektrycznego - 250M | Stojan Shop;Amortyzatory płaskie do silnika elektrycznego - 250M;https://www.silniki-elektryczne.com.pl/akcesoria/amortyzatory-plaskie-do-silnika-elektrycznego-250m;index, follow, max-image-preview:large, max-snippet:-1;;text/html;153468;tytuł >65 zn. | wolno 2053ms;
https://www.silniki-elektryczne.com.pl/akcesoria/falownik-0-55kw-sk-180e-550-340-b-do-sinika-nord;200;0;https://www.silniki-elektryczne.com.pl/akcesoria/falownik-0-55kw-sk-180e-550-340-b-do-sinika-nord;1365;tak;Falownik 0,55kW SK 180E-550-340-B do sinika NORD | Stojan Shop;Falownik 0,55kW SK 180E-550-340-B do sinika NORD;https://www.silniki-elektryczne.com.pl/akcesoria/falownik-0-55kw-sk-180e-550-340-b-do-sinika-nord;index, follow, max-image-preview:large, max-snippet:-1;;text/html;169543;;
https://www.silniki-elektryczne.com.pl/akcesoria/falownik-0-75kw-230v-3x230v;200;0;https://www.silniki-elektryczne.com.pl/akcesoria/falownik-0-75kw-230v-3x230v;2230;tak;Falownik 0,75kW 230V/3x230V | Stojan Shop;Falownik 0,75kW 230V/3x230V;https://www.silniki-elektryczne.com.pl/akcesoria/falownik-0-75kw-230v-3x230v;index, follow, max-image-preview:large, max-snippet:-1;;text/html;168022;wolno 2230ms;
https://www.silniki-elektryczne.com.pl/akcesoria/falownik-22-2kva-sew-17kw;200;0;https://www.silniki-elektryczne.com.pl/akcesoria/falownik-22-2kva-sew-17kw;2006;tak;Falownik 22,2kVA SEW 17kW | Stojan Shop;Falownik 22,2kVA SEW 17kW;https://www.silniki-elektryczne.com.pl/akcesoria/falownik-22-2kva-sew-17kw;index, follow, max-image-preview:large, max-snippet:-1;;text/html;166695;wolno 2006ms;
https://www.silniki-elektryczne.com.pl/akcesoria/kolnierz-boczny-fa-reduktor-110;200;0;https://www.silniki-elektryczne.com.pl/akcesoria/kolnierz-boczny-fa-reduktor-110;2177;tak;Kołnierz boczny FA - reduktor 110 - zamów teraz!;Kołnierz boczny FA - reduktor 110;https://www.silniki-elektryczne.com.pl/akcesoria/kolnierz-boczny-fa-reduktor-110;index, follow, max-image-preview:large, max-snippet:-1;;text/html;160630;wolno 2177ms;
https://www.silniki-elektryczne.com.pl/akcesoria/kolnierz-boczny-fa-reduktor-130;200;0;https://www.silniki-elektryczne.com.pl/akcesoria/kolnierz-boczny-fa-reduktor-130;2240;tak;Kołnierz boczny FA - reduktor 130 - zamów teraz!;Kołnierz boczny FA - reduktor 130;https://www.silniki-elektryczne.com.pl/akcesoria/kolnierz-boczny-fa-reduktor-130;index, follow, max-image-preview:large, max-snippet:-1;;text/html;161154;wolno 2240ms;
https://www.silniki-elektryczne.com.pl/akcesoria/kolnierz-boczny-fa-reduktor-30;200;0;https://www.silniki-elektryczne.com.pl/akcesoria/kolnierz-boczny-fa-reduktor-30;2018;tak;Kołnierz boczny FA - reduktor 30 - zamów teraz!;Kołnierz boczny FA - reduktor 30;https://www.silniki-elektryczne.com.pl/akcesoria/kolnierz-boczny-fa-reduktor-30;index, follow, max-image-preview:large, max-snippet:-1;;text/html;161155;wolno 2018ms;
https://www.silniki-elektryczne.com.pl/akcesoria/kolnierz-boczny-fa-reduktor-40;200;0;https://www.silniki-elektryczne.com.pl/akcesoria/kolnierz-boczny-fa-reduktor-40;2060;tak;Kołnierz boczny FA - reduktor 40 - zamów teraz!;Kołnierz boczny FA - reduktor 40;https://www.silniki-elektryczne.com.pl/akcesoria/kolnierz-boczny-fa-reduktor-40;index, follow, max-image-preview:large, max-snippet:-1;;text/html;161149;wolno 2060ms;
https://www.silniki-elektryczne.com.pl/akcesoria/kolnierz-boczny-fa-reduktor-50;200;0;https://www.silniki-elektryczne.com.pl/akcesoria/kolnierz-boczny-fa-reduktor-50;2304;tak;Kołnierz boczny FA - reduktor 50 - zamów teraz!;Kołnierz boczny FA - reduktor 50;https://www.silniki-elektryczne.com.pl/akcesoria/kolnierz-boczny-fa-reduktor-50;index, follow, max-image-preview:large, max-snippet:-1;;text/html;161174;wolno 2304ms;
https://www.silniki-elektryczne.com.pl/akcesoria/kolnierz-boczny-fa-reduktor-63;200;0;https://www.silniki-elektryczne.com.pl/akcesoria/kolnierz-boczny-fa-reduktor-63;2044;tak;Kołnierz boczny FA - reduktor 63 - zamów teraz!;Kołnierz boczny FA - reduktor 63;https://www.silniki-elektryczne.com.pl/akcesoria/kolnierz-boczny-fa-reduktor-63;index, follow, max-image-preview:large, max-snippet:-1;;text/html;161147;wolno 2044ms;
